facility_filter,facility_name,region,service_name,gender,age_group,patient_days,visits
All,Central Community Hospital,Central,Child Health,Female,0-17,136.3,74
All,Central Community Hospital,Central,Child Health,Male,0-17,110.6,70
All,Central Community Hospital,Central,Child Health,Female,18-44,20.3,7
All,Central Community Hospital,Central,Child Health,Male,18-44,29.4,6
All,Central Community Hospital,Central,Child Health,Female,45-69,27.9,7
All,Central Community Hospital,Central,Child Health,Male,45-69,2.2,3
All,Central Community Hospital,Central,Child Health,Female,70+,27.2,7
All,Central Community Hospital,Central,Child Health,Male,70+,15.6,4
All,Central Community Hospital,Central,General Medicine,Female,0-17,6.5,4
All,Central Community Hospital,Central,General Medicine,Male,0-17,12.4,6
All,Central Community Hospital,Central,General Medicine,Female,18-44,67.4,17
All,Central Community Hospital,Central,General Medicine,Male,18-44,75.9,21
All,Central Community Hospital,Central,General Medicine,Female,45-69,167.5,42
All,Central Community Hospital,Central,General Medicine,Male,45-69,127.9,32
All,Central Community Hospital,Central,General Medicine,Female,70+,244.9,57
All,Central Community Hospital,Central,General Medicine,Male,70+,203.0,58
All,Central Community Hospital,Central,General Surgery,Female,0-17,16.6,8
All,Central Community Hospital,Central,General Surgery,Male,0-17,34.2,13
All,Central Community Hospital,Central,General Surgery,Female,18-44,93.1,29
All,Central Community Hospital,Central,General Surgery,Male,18-44,84.0,26
All,Central Community Hospital,Central,General Surgery,Female,45-69,117.1,41
All,Central Community Hospital,Central,General Surgery,Male,45-69,139.5,44
All,Central Community Hospital,Central,General Surgery,Female,70+,96.9,37
All,Central Community Hospital,Central,General Surgery,Male,70+,99.9,31
All,Central Community Hospital,Central,Maternal Care,Female,0-17,9.6,5
All,Central Community Hospital,Central,Maternal Care,Male,0-17,13.8,7
All,Central Community Hospital,Central,Maternal Care,Female,18-44,475.4,217
All,Central Community Hospital,Central,Maternal Care,Male,18-44,24.3,7
All,Central Community Hospital,Central,Maternal Care,Female,45-69,63.0,22
All,Central Community Hospital,Central,Maternal Care,Male,45-69,45.4,7
All,Central Community Hospital,Central,Maternal Care,Female,70+,22.0,7
All,Central Community Hospital,Central,Maternal Care,Male,70+,10.0,4
All,Central Community Hospital,Central,Mental Health,Female,0-17,29.7,6
All,Central Community Hospital,Central,Mental Health,Male,0-17,26.0,3
All,Central Community Hospital,Central,Mental Health,Female,18-44,104.1,25
All,Central Community Hospital,Central,Mental Health,Male,18-44,65.9,10
All,Central Community Hospital,Central,Mental Health,Female,45-69,79.4,20
All,Central Community Hospital,Central,Mental Health,Male,45-69,79.5,19
All,Central Community Hospital,Central,Mental Health,Female,70+,58.8,16
All,Central Community Hospital,Central,Mental Health,Male,70+,49.7,13
All,North General Hospital,North,Child Health,Female,0-17,171.9,97
All,North General Hospital,North,Child Health,Male,0-17,226.9,137
All,North General Hospital,North,Child Health,Female,18-44,68.2,21
All,North General Hospital,North,Child Health,Male,18-44,12.0,7
All,North General Hospital,North,Child Health,Female,45-69,39.8,13
All,North General Hospital,North,Child Health,Male,45-69,20.8,4
All,North General Hospital,North,Child Health,Female,70+,33.9,6
All,North General Hospital,North,Child Health,Male,70+,35.0,8
All,North General Hospital,North,General Medicine,Female,0-17,12.5,4
All,North General Hospital,North,General Medicine,Male,0-17,21.2,7
All,North General Hospital,North,General Medicine,Female,18-44,123.3,34
All,North General Hospital,North,General Medicine,Male,18-44,53.3,19
All,North General Hospital,North,General Medicine,Female,45-69,196.8,49
All,North General Hospital,North,General Medicine,Male,45-69,247.0,61
All,North General Hospital,North,General Medicine,Female,70+,251.2,69
All,North General Hospital,North,General Medicine,Male,70+,252.1,60
All,North General Hospital,North,General Surgery,Female,0-17,42.2,13
All,North General Hospital,North,General Surgery,Male,0-17,25.2,12
All,North General Hospital,North,General Surgery,Female,18-44,164.8,53
All,North General Hospital,North,General Surgery,Male,18-44,68.1,24
All,North General Hospital,North,General Surgery,Female,45-69,164.3,50
All,North General Hospital,North,General Surgery,Male,45-69,175.0,54
All,North General Hospital,North,General Surgery,Female,70+,139.4,42
All,North General Hospital,North,General Surgery,Male,70+,127.7,47
All,North General Hospital,North,Maternal Care,Female,0-17,20.6,8
All,North General Hospital,North,Maternal Care,Male,0-17,10.3,6
All,North General Hospital,North,Maternal Care,Female,18-44,531.6,258
All,North General Hospital,North,Maternal Care,Male,18-44,19.5,7
All,North General Hospital,North,Maternal Care,Female,45-69,100.1,50
All,North General Hospital,North,Maternal Care,Male,45-69,43.6,8
All,North General Hospital,North,Maternal Care,Female,70+,19.2,4
All,North General Hospital,North,Maternal Care,Male,70+,41.2,12
All,North General Hospital,North,Mental Health,Female,0-17,30.4,8
All,North General Hospital,North,Mental Health,Male,0-17,30.7,8
All,North General Hospital,North,Mental Health,Female,18-44,150.0,36
All,North General Hospital,North,Mental Health,Male,18-44,94.0,16
All,North General Hospital,North,Mental Health,Female,45-69,166.1,33
All,North General Hospital,North,Mental Health,Male,45-69,113.1,21
All,North General Hospital,North,Mental Health,Female,70+,50.9,14
All,North General Hospital,North,Mental Health,Male,70+,65.0,16
All,South Medical Center,South,Child Health,Female,0-17,141.6,64
All,South Medical Center,South,Child Health,Male,0-17,93.8,54
All,South Medical Center,South,Child Health,Female,18-44,61.0,26
All,South Medical Center,South,Child Health,Male,18-44,19.1,6
All,South Medical Center,South,Child Health,Female,45-69,20.8,8
All,South Medical Center,South,Child Health,Male,45-69,21.4,5
All,South Medical Center,South,Child Health,Female,70+,9.5,2
All,South Medical Center,South,Child Health,Male,70+,14.1,2
All,South Medical Center,South,General Medicine,Female,0-17,20.1,6
All,South Medical Center,South,General Medicine,Male,0-17,21.1,7
All,South Medical Center,South,General Medicine,Female,18-44,94.2,25
