facility_filter,facility_name,service_name,saving_type,maximal_beds,saving_rate,demand_reduction
All,Central Community Hospital,Child Health,ALC,3.8,0.12,0.5
All,Central Community Hospital,Child Health,LOS & other,0.8,0.14,0.1
All,Central Community Hospital,Child Health,Readmission 30 day,0.1,0.07,0.0
All,Central Community Hospital,Child Health,Readmission 7 day,0.3,0.1,0.0
All,Central Community Hospital,Child Health,Short stay review,1.0,0.18,0.2
All,Central Community Hospital,General Medicine,ALC,6.9,0.42,2.9
All,Central Community Hospital,General Medicine,LOS & other,0.4,0.24,0.1
All,Central Community Hospital,General Medicine,Readmission 30 day,0.3,0.12,0.0
All,Central Community Hospital,General Medicine,Readmission 7 day,0.1,0.18,0.0
All,Central Community Hospital,General Medicine,Short stay review,1.0,0.14,0.1
All,Central Community Hospital,General Surgery,ALC,5.7,0.22,1.3
All,Central Community Hospital,General Surgery,LOS & other,1.0,0.18,0.2
All,Central Community Hospital,General Surgery,Readmission 30 day,0.0,0.08,0.0
All,Central Community Hospital,General Surgery,Readmission 7 day,0.1,0.12,0.0
All,Central Community Hospital,General Surgery,Short stay review,1.0,0.2,0.2
All,Central Community Hospital,Maternal Care,ALC,5.7,0.08,0.5
All,Central Community Hospital,Maternal Care,LOS & other,0.8,0.1,0.1
All,Central Community Hospital,Maternal Care,Readmission 30 day,0.6,0.05,0.0
All,Central Community Hospital,Maternal Care,Readmission 7 day,0.3,0.08,0.0
All,Central Community Hospital,Maternal Care,Short stay review,1.7,0.16,0.3
All,Central Community Hospital,Mental Health,ALC,2.5,0.28,0.7
All,Central Community Hospital,Mental Health,LOS & other,0.8,0.26,0.2
All,Central Community Hospital,Mental Health,Readmission 30 day,0.2,0.16,0.0
All,Central Community Hospital,Mental Health,Short stay review,0.3,0.08,0.0
All,North General Hospital,Child Health,ALC,6.2,0.12,0.7
All,North General Hospital,Child Health,LOS & other,1.3,0.14,0.2
All,North General Hospital,Child Health,Readmission 30 day,0.2,0.07,0.0
All,North General Hospital,Child Health,Readmission 7 day,0.1,0.1,0.0
All,North General Hospital,Child Health,Short stay review,2.0,0.18,0.4
All,North General Hospital,General Medicine,ALC,8.0,0.42,3.3
All,North General Hospital,General Medicine,LOS & other,0.9,0.24,0.2
All,North General Hospital,General Medicine,Readmission 30 day,0.5,0.12,0.1
All,North General Hospital,General Medicine,Readmission 7 day,0.3,0.18,0.1
All,North General Hospital,General Medicine,Short stay review,1.0,0.14,0.1
All,North General Hospital,General Surgery,ALC,7.2,0.22,1.6
All,North General Hospital,General Surgery,LOS & other,1.1,0.18,0.2
All,North General Hospital,General Surgery,Readmission 30 day,0.3,0.08,0.0
All,North General Hospital,General Surgery,Readmission 7 day,0.4,0.12,0.0
All,North General Hospital,General Surgery,Short stay review,1.2,0.2,0.2
All,North General Hospital,Maternal Care,ALC,5.9,0.08,0.5
All,North General Hospital,Maternal Care,LOS & other,1.0,0.1,0.1
All,North General Hospital,Maternal Care,Readmission 30 day,0.4,0.05,0.0
All,North General Hospital,Maternal Care,Readmission 7 day,0.4,0.08,0.0
All,North General Hospital,Maternal Care,Short stay review,1.6,0.16,0.3
All,North General Hospital,Mental Health,ALC,3.2,0.28,0.9
All,North General Hospital,Mental Health,Readmission 30 day,0.1,0.16,0.0
