facility_filter,facility_name,service_name,low_day,average_day,high_day,peak_day,planned_beds,occupancy
All,North General Hospital,General Medicine,37.0,41.3,43.8,51.6,41.3,0.9991935483870966
All,Central Community Hospital,General Medicine,30.0,33.6,37.5,40.6,33.0,1.0191919191919192
All,North General Hospital,General Surgery,27.0,29.6,33.0,35.0,29.5,1.0045197740112994
All,South Medical Center,General Medicine,22.0,26.1,29.0,35.0,26.7,0.9763092269326683
All,North General Hospital,Maternal Care,23.0,25.7,28.8,32.0,19.7,1.3023648648648647
All,Central Community Hospital,General Surgery,21.0,23.1,26.0,29.2,23.5,0.9830028328611897
All,Central Community Hospital,Maternal Care,19.0,21.0,23.8,26.6,15.8,1.3242105263157893
All,North General Hospital,Mental Health,19.0,20.7,23.0,26.6,15.8,1.3080168776371308
All,South Medical Center,General Surgery,16.0,18.5,20.0,24.0,19.3,0.9585492227979274
All,South Medical Center,Maternal Care,15.2,18.2,20.8,23.0,12.7,1.4342105263157896
All,North General Hospital,Child Health,16.2,18.1,20.0,25.1,17.6,1.0303030303030303
All,Central Community Hospital,Mental Health,13.0,14.6,16.0,18.0,12.4,1.1769436997319034
All,South Medical Center,Mental Health,10.0,13.8,18.8,21.0,10.3,1.332258064516129
All,South Medical Center,Child Health,11.0,12.3,14.0,16.5,11.8,1.0451977401129944
All,Central Community Hospital,Child Health,10.2,11.7,13.0,15.0,14.2,0.8235294117647058
Central Community Hospital,Central Community Hospital,General Medicine,30.0,33.6,37.5,40.6,33.0,1.0191919191919192
Central Community Hospital,Central Community Hospital,General Surgery,21.0,23.1,26.0,29.2,23.5,0.9830028328611897
Central Community Hospital,Central Community Hospital,Maternal Care,19.0,21.0,23.8,26.6,15.8,1.3242105263157893
Central Community Hospital,Central Community Hospital,Mental Health,13.0,14.6,16.0,18.0,12.4,1.1769436997319034
Central Community Hospital,Central Community Hospital,Child Health,10.2,11.7,13.0,15.0,14.2,0.8235294117647058
North General Hospital,North General Hospital,General Medicine,37.0,41.3,43.8,51.6,41.3,0.9991935483870966
North General Hospital,North General Hospital,General Surgery,27.0,29.6,33.0,35.0,29.5,1.0045197740112994
North General Hospital,North General Hospital,Maternal Care,23.0,25.7,28.8,32.0,19.7,1.3023648648648647
North General Hospital,North General Hospital,Mental Health,19.0,20.7,23.0,26.6,15.8,1.3080168776371308
North General Hospital,North General Hospital,Child Health,16.2,18.1,20.0,25.1,17.6,1.0303030303030303
South Medical Center,South Medical Center,General Medicine,22.0,26.1,29.0,35.0,26.7,0.9763092269326683
South Medical Center,South Medical Center,General Surgery,16.0,18.5,20.0,24.0,19.3,0.9585492227979274
South Medical Center,South Medical Center,Maternal Care,15.2,18.2,20.8,23.0,12.7,1.4342105263157896
South Medical Center,South Medical Center,Mental Health,10.0,13.8,18.8,21.0,10.3,1.332258064516129
South Medical Center,South Medical Center,Child Health,11.0,12.3,14.0,16.5,11.8,1.0451977401129944
