facility_filter,facility_name,service_name,demand,funded_capacity,variance,year,growth_index
All,Central Community Hospital,General Medicine,41,33,-8,2025,1.0
All,Central Community Hospital,General Surgery,27,24,-3,2025,1.0
All,Central Community Hospital,Maternal Care,26,16,-10,2025,1.0
All,Central Community Hospital,Mental Health,18,12,-6,2025,1.0
All,Central Community Hospital,Child Health,15,14,-1,2025,1.0
All,North General Hospital,General Medicine,52,42,-10,2025,1.0
All,North General Hospital,General Surgery,35,30,-5,2025,1.0
All,North General Hospital,Maternal Care,31,20,-11,2025,1.0
All,North General Hospital,Mental Health,27,16,-11,2025,1.0
All,North General Hospital,Child Health,24,18,-6,2025,1.0
All,South Medical Center,General Medicine,35,27,-8,2025,1.0
All,South Medical Center,General Surgery,24,20,-4,2025,1.0
All,South Medical Center,Maternal Care,21,13,-8,2025,1.0
All,South Medical Center,Mental Health,21,10,-11,2025,1.0
All,South Medical Center,Child Health,16,12,-4,2025,1.0
All,Central Community Hospital,General Medicine,43,33,-10,2026,1.0409101599745736
All,Central Community Hospital,General Surgery,28,24,-4,2026,1.0359366843885935
All,Central Community Hospital,Maternal Care,27,16,-11,2026,1.0297017066085694
All,Central Community Hospital,Mental Health,19,12,-7,2026,1.0338035019455252
All,Central Community Hospital,Child Health,16,14,-2,2026,1.0238074811256006
All,North General Hospital,General Medicine,54,42,-12,2026,1.0368336643924347
All,North General Hospital,General Surgery,37,30,-7,2026,1.0331068749231336
All,North General Hospital,Maternal Care,32,20,-12,2026,1.0258113899897257
All,North General Hospital,Mental Health,28,16,-12,2026,1.028702492211838
All,North General Hospital,Child Health,25,18,-7,2026,1.0199614561027837
All,South Medical Center,General Medicine,37,27,-10,2026,1.035656258634982
All,South Medical Center,General Surgery,25,20,-5,2026,1.0323748217559583
All,South Medical Center,Maternal Care,22,13,-9,2026,1.0233162038955657
All,South Medical Center,Mental Health,22,10,-12,2026,1.0286058016058015
All,South Medical Center,Child Health,17,12,-5,2026,1.0182088587132232
All,Central Community Hospital,General Medicine,45,33,-12,2027,1.0835645195465622
All,Central Community Hospital,General Surgery,29,24,-5,2027,1.0732298856130174
All,Central Community Hospital,Maternal Care,28,16,-12,2027,1.0602511982570806
All,Central Community Hospital,Mental Health,20,12,-8,2027,1.0688027480544746
All,Central Community Hospital,Child Health,16,14,-2,2027,1.0481807824296498
All,North General Hospital,General Medicine,56,42,-14,2027,1.0750783055531565
All,North General Hospital,General Surgery,38,30,-8,2027,1.0673756733489117
All,North General Hospital,Maternal Care,33,20,-13,2027,1.0522777190664905
All,North General Hospital,Mental Health,29,16,-13,2027,1.0582743163724473
All,North General Hospital,Child Health,25,18,-7,2027,1.0403453319057814
All,South Medical Center,General Medicine,38,27,-11,2027,1.0726420834484665
All,South Medical Center,General Surgery,26,20,-6,2027,1.06585166021593
All,South Medical Center,Mental Health,23,10,-13,2027,1.0580871017871016
All,South Medical Center,Maternal Care,22,13,-9,2027,1.0471487567343556
All,South Medical Center,Child Health,17,12,-5,2027,1.036742644681539
All,Central Community Hospital,General Medicine,47,33,-14,2028,1.1280222904968749
All,Central Community Hospital,General Surgery,31,24,-7,2028,1.1119092476236505
All,Central Community Hospital,Maternal Care,29,16,-13,2028,1.0917467864923747
All,Central Community Hospital,Mental Health,20,12,-8,2028,1.105029426070039
All,Central Community Hospital,Child Health,17,14,-3,2028,1.0731201098146879
All,North General Hospital,General Medicine,58,42,-16,2028,1.1148170135590294
