facility_filter,facility_name,service_name,year,projection,adjusted_projection
All,North General Hospital,General Medicine,2025,52,52
All,North General Hospital,General Medicine,2026,54,54
All,North General Hospital,General Medicine,2027,56,56
All,North General Hospital,General Medicine,2028,58,57
All,North General Hospital,General Medicine,2029,60,59
All,North General Hospital,General Medicine,2030,62,61
All,North General Hospital,General Medicine,2031,65,64
All,North General Hospital,General Medicine,2032,67,66
All,North General Hospital,General Medicine,2033,70,69
All,North General Hospital,General Medicine,2034,72,71
All,North General Hospital,General Medicine,2035,75,74
All,North General Hospital,General Medicine,2036,78,77
All,North General Hospital,General Medicine,2037,81,80
All,North General Hospital,General Medicine,2038,84,83
All,North General Hospital,General Medicine,2039,87,86
All,North General Hospital,General Medicine,2040,90,89
All,Central Community Hospital,General Medicine,2025,41,41
All,Central Community Hospital,General Medicine,2026,43,42
All,Central Community Hospital,General Medicine,2027,44,44
All,Central Community Hospital,General Medicine,2028,46,46
All,Central Community Hospital,General Medicine,2029,48,47
All,Central Community Hospital,General Medicine,2030,50,49
All,Central Community Hospital,General Medicine,2031,52,51
All,Central Community Hospital,General Medicine,2032,54,53
All,Central Community Hospital,General Medicine,2033,57,56
All,Central Community Hospital,General Medicine,2034,59,58
All,Central Community Hospital,General Medicine,2035,61,60
All,Central Community Hospital,General Medicine,2036,64,63
All,Central Community Hospital,General Medicine,2037,67,66
All,Central Community Hospital,General Medicine,2038,69,68
All,Central Community Hospital,General Medicine,2039,72,71
All,Central Community Hospital,General Medicine,2040,75,74
All,North General Hospital,General Surgery,2025,35,35
All,North General Hospital,General Surgery,2026,36,36
All,North General Hospital,General Surgery,2027,37,37
All,North General Hospital,General Surgery,2028,39,38
All,North General Hospital,General Surgery,2029,40,39
All,North General Hospital,General Surgery,2030,41,41
All,North General Hospital,General Surgery,2031,43,42
All,North General Hospital,General Surgery,2032,44,43
All,North General Hospital,General Surgery,2033,45,45
All,North General Hospital,General Surgery,2034,47,46
All,North General Hospital,General Surgery,2035,49,48
All,North General Hospital,General Surgery,2036,50,50
All,North General Hospital,General Surgery,2037,52,51
All,North General Hospital,General Surgery,2038,54,53
All,North General Hospital,General Surgery,2039,56,55
All,North General Hospital,General Surgery,2040,57,57
All,South Medical Center,General Medicine,2025,35,35
All,South Medical Center,General Medicine,2026,36,36
All,South Medical Center,General Medicine,2027,38,37
All,South Medical Center,General Medicine,2028,39,38
All,South Medical Center,General Medicine,2029,40,40
All,South Medical Center,General Medicine,2030,42,41
All,South Medical Center,General Medicine,2031,43,42
All,South Medical Center,General Medicine,2032,45,44
All,South Medical Center,General Medicine,2033,46,46
All,South Medical Center,General Medicine,2034,48,47
